Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,20,start,0,33.63786810523124,33.63786810523124,0,0,0,0.0,150
#1,20,service,9,33.63786810523124,11.393721332421292,0,141.04,201.04,35.49,192.59
#1,20,service,7,11.393721332421292,0.0,85.45,334.55,480,83.94,250.73
#1,20,finish,0,0.0,0.0,0,497.66,557.66,113.14,285.77
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,0,start,0,20.470532400914543,20.470532400914543,0,0,0,0.0,80
#2,0,service,3,20.470532400914543,0.0,614.61,105.39,780,14.8,91.84
#2,0,finish,0,0.0,0.0,0,876.5,936.5,29.14,103.31
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,10,start,0,32.10152581067986,32.10152581067986,0,0,0,0.0,110
#3,10,service,19,32.10152581067986,0.0,346.34,73.66,480,45.88,155.88
#3,10,finish,0,0.0,0.0,0,552.4,612.4,92.24,202.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,11,start,0,32.10152581067986,32.10152581067986,0,0,0,0.0,110
#4,11,service,19,32.10152581067986,0.0,346.34,73.66,480,45.88,155.88
#4,11,finish,0,0.0,0.0,0,552.4,612.4,92.24,202.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,13,start,0,32.10152581067986,32.10152581067986,0,0,0,0.0,110
#5,13,service,19,32.10152581067986,0.0,346.34,73.66,480,45.88,155.88
#5,13,finish,0,0.0,0.0,0,552.4,612.4,92.24,202.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,1,start,0,24.11687647907416,24.11687647907416,0,0,0,0.0,80
#6,1,service,1,24.11687647907416,0.0,596.02,123.98,780,6.91,85.53
#6,1,finish,0,0.0,0.0,0,900.19,960.19,13.27,90.62
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#7,12,start,0,32.06378703564515,32.06378703564515,0,0,0,0.0,110
#7,12,service,15,32.06378703564515,0.0,0,170.97,230.97,38.48,148.48
#7,12,finish,0,0.0,0.0,0,398.85,458.85,79.36,189.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#8,2,start,0,11.918605904302922,11.918605904302922,0,0,0,0.0,80
#8,2,service,2,11.918605904302922,0.0,659.26,60.74,780,9.11,87.28
#8,2,finish,0,0.0,0.0,0,837.99,897.99,18.54,94.83
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#9,15,start,0,29.227500022704326,29.227500022704326,0,0,0,0.0,110
#9,15,service,17,29.227500022704326,0.0,8.82,51.18,120,48.04,158.04
#9,15,finish,0,0.0,0.0,0,167.86,227.86,95.77,205.77
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#10,3,start,0,6.511576820309902,6.511576820309902,0,0,0,0.0,80
#10,3,service,6,6.511576820309902,0.0,650.89,69.11,780,39.77,111.81
#10,3,finish,0,0.0,0.0,0,848.46,908.46,78.97,143.17
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#11,16,start,0,27.967368169643425,27.967368169643425,0,0,0,0.0,110
#11,16,service,5,27.967368169643425,0.0,684.06,35.94,780,28.91,138.91
#11,16,finish,0,0.0,0.0,0,817.58,877.58,56.97,166.97
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#12,21,start,0,37.837388784052,37.837388784052,0,0,0,0.0,150
#12,21,service,12,37.837388784052,0.0,656.56,63.44,780,37.86,195.43
#12,21,finish,0,0.0,0.0,0,842.35,902.35,76.45,241.74
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#13,30,start,0,46.13055532636743,46.13055532636743,0,0,0,0.0,200
#13,30,service,13,46.13055532636743,24.62841661317833,631.53,88.47,780,29.96,244.95
#13,30,service,8,24.62841661317833,0.0,517.67,982.33,1560,45.13,267.69
#13,30,finish,0,0.0,0.0,0,1652.96,1712.96,76.86,315.3
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#14,40,start,0,51.307674092338615,51.307674092338615,0,0,0,0.0,250
#14,40,service,10,51.307674092338615,30.20833433230381,607.35,112.65,780,42.48,326.46
#14,40,service,20,30.20833433230381,0.0,0,941.18,1001.18,66.17,369.11
#14,40,finish,0,0.0,0.0,0,1086.69,1146.69,122.17,469.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#15,17,start,0,29.060144944994533,29.060144944994533,0,0,0,0.0,110
#15,17,service,11,29.060144944994533,0.0,0,88.58,148.58,42.48,152.48
#15,17,finish,0,0.0,0.0,0,236.29,296.29,84.95,194.95
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#16,5,start,0,21.970198789449224,21.970198789449224,0,0,0,0.0,80
#16,5,service,18,21.970198789449224,0.0,86.89,153.11,300,53.41,122.73
#16,5,finish,0,0.0,0.0,0,452.79,512.79,106.37,165.1
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#17,23,start,0,40.12425816152573,40.12425816152573,0,0,0,0.0,150
#17,23,service,16,40.12425816152573,0.0,336.44,83.56,480,43.59,202.31
#17,23,finish,0,0.0,0.0,0,555.48,615.48,87.12,254.55
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#18,18,start,0,32.10152581067986,32.10152581067986,0,0,0,0.0,110
#18,18,service,19,32.10152581067986,0.0,346.34,73.66,480,45.88,155.88
#18,18,finish,0,0.0,0.0,0,552.4,612.4,92.24,202.24
