ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
0,VEH_0,1,0,0,0,Null,Null,Null
0,VEH_0,2,20,73.66,346.34,480,Null,No
0,VEH_0,3,0,552.4,0,612.4,612.4,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
2,VEH_2,1,0,0,0,Null,Null,Null
2,VEH_2,2,18,200.55,579.45,840,Null,No
2,VEH_2,3,0,1032.71,0,1092.71,1092.71,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
30,VEH_30,1,0,0,0,Null,Null,Null
30,VEH_30,2,3,105.39,974.61,1140,Null,No
30,VEH_30,3,14,1400.94,459.06,1920,Null,No
30,VEH_30,4,0,2087.88,0,2147.88,2147.88,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
1,VEH_1,1,0,0,0,Null,Null,Null
1,VEH_1,2,10,111.76,968.24,1140,Null,No
1,VEH_1,3,0,1232.96,0,1292.96,1292.96,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
11,VEH_11,1,0,0,0,Null,Null,Null
11,VEH_11,2,7,69.11,350.89,480,Null,No
11,VEH_11,3,0,548.46,0,608.46,608.46,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
19,VEH_19,1,0,0,0,Null,Null,Null
19,VEH_19,2,8,18.03,401.97,480,Null,No
19,VEH_19,3,0,497.66,0,557.66,557.66,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
13,VEH_13,1,0,0,0,Null,Null,Null
13,VEH_13,2,2,123.98,956.02,1140,Null,No
13,VEH_13,3,0,1260.19,0,1320.19,1320.19,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
5,VEH_5,1,0,0,0,Null,Null,Null
5,VEH_5,2,21,88.16,331.84,480,Null,No
5,VEH_5,3,0,565.51,0,625.51,625.51,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
7,VEH_7,1,0,0,0,Null,Null,Null
7,VEH_7,2,12,19.13,1060.87,1140,Null,No
7,VEH_7,3,0,1159.5,0,1219.5,1219.5,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
9,VEH_9,1,0,0,0,Null,Null,Null
9,VEH_9,2,11,68.18,1011.82,1140,Null,No
9,VEH_9,3,0,1208.14,0,1268.14,1268.14,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
3,VEH_3,1,0,0,0,Null,Null,Null
3,VEH_3,2,9,95.58,984.42,1140,Null,No
3,VEH_3,3,0,1226.39,0,1286.39,1286.39,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
4,VEH_4,1,0,0,0,Null,Null,Null
4,VEH_4,2,18,200.55,579.45,840,Null,No
4,VEH_4,3,0,1032.71,0,1092.71,1092.71,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
10,VEH_10,1,0,0,0,Null,Null,Null
10,VEH_10,2,6,35.94,1044.06,1140,Null,No
10,VEH_10,3,0,1177.58,0,1237.58,1237.58,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
15,VEH_15,1,0,0,0,Null,Null,Null
15,VEH_15,2,3,105.39,974.61,1140,Null,No
15,VEH_15,3,0,1236.5,0,1296.5,1296.5,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
8,VEH_8,1,0,0,0,Null,Null,Null
8,VEH_8,2,4,39.38,1040.62,1140,Null,No
8,VEH_8,3,5,1264.19,0,1324.19,Null,No
8,VEH_8,4,0,1414.62,0,1474.62,1474.62,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
20,VEH_20,1,0,0,0,Null,Null,Null
20,VEH_20,2,15,71.52,1008.48,1140,Null,No
20,VEH_20,3,0,1211.46,0,1271.46,1271.46,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
23,VEH_23,1,0,0,0,Null,Null,Null
23,VEH_23,2,17,153.11,926.89,1140,Null,No
23,VEH_23,3,0,1292.79,0,1352.79,1352.79,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
14,VEH_14,1,0,0,0,Null,Null,Null
14,VEH_14,2,19,146.76,0,206.76,Null,No
14,VEH_14,3,0,349.73,0,409.73,409.73,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
17,VEH_17,1,0,0,0,Null,Null,Null
17,VEH_17,2,16,47.11,1032.89,1140,Null,No
17,VEH_17,3,0,1188.19,0,1248.19,1248.19,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
22,VEH_22,1,0,0,0,Null,Null,Null
22,VEH_22,2,17,153.11,926.89,1140,Null,No
22,VEH_22,3,0,1292.79,0,1352.79,1352.79,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
18,VEH_18,1,0,0,0,Null,Null,Null
18,VEH_18,2,13,135.58,944.42,1140,Null,No
18,VEH_18,3,0,1270.3,0,1330.3,1330.3,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
6,VEH_6,1,0,0,0,Null,Null,Null
6,VEH_6,2,22,48.16,731.84,840,Null,No
6,VEH_6,3,1,1038.85,41.15,1140,Null,No
6,VEH_6,4,0,1346.96,0,1406.96,1406.96,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
12,VEH_12,1,0,0,0,Null,Null,Null
12,VEH_12,2,7,69.11,350.89,480,Null,No
12,VEH_12,3,0,548.46,0,608.46,608.46,Yes
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
