Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_741,start,O_448,31.382877517723426,31.382877517723426,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#1,VEH_741,service,D_1402,31.382877517723426,0.0,159.52,2023-05-01 08:20,2023-05-01 12:00,9.11,119.11
#1,VEH_741,finish,O_448,0.0,0.0,0,2023-05-01 13:58,2023-05-01 14:58,18.54,128.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_734,start,O_448,26.990677978373995,26.990677978373995,0,2023-05-01 06:00,2023-05-01 06:00,0.0,80
#2,VEH_734,service,D_1396,26.990677978373995,6.795624975391515,110.28,2023-05-01 08:10,2023-05-01 11:00,20.44,96.35
#2,VEH_734,service,D_1433,6.795624975391515,0.0,0,2023-05-01 12:25,2023-05-01 13:25,41.14,112.91
#2,VEH_734,finish,O_448,0.0,0.0,0,2023-05-01 14:38,2023-05-01 15:38,47.5,118.0
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_769,start,O_448,45.0,45.0,0,2023-05-01 06:00,2023-05-01 06:00,0.0,250
#3,VEH_769,service,D_1397,45.0,0.0,112.31,2023-05-01 08:08,2023-05-01 11:00,14.8,276.64
#3,VEH_769,finish,O_448,0.0,0.0,0,2023-05-01 12:49,2023-05-01 13:49,29.14,302.45
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 09:38,,
TOTAL,,,,,,,,,95.17,548.98
