ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_26,1,O_9,2023-05-01 08:00,0,,,
20230501B467784_001,VEH_26,2,D_108,2023-05-01 11:57,62.92,60,2023-05-01 14:00,Yes
,VEH_26,3,O_9,2023-05-01 18:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_30,1,O_9,2023-05-01 08:00,0,,,
20230501B467776_001,VEH_30,2,D_108,2023-05-01 11:57,62.92,60,2023-05-01 14:00,Yes
,VEH_30,3,O_9,2023-05-01 18:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_15,1,O_9,2023-05-01 08:00,0,,,
M18384761,VEH_15,2,D_263,2023-05-01 08:24,276.12,60,2023-05-01 14:00,Yes
,VEH_15,3,O_9,2023-05-01 14:23,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_31,1,O_9,2023-05-01 08:00,0,,,
20230501B467780_001,VEH_31,2,D_108,2023-05-01 11:57,62.92,60,2023-05-01 14:00,Yes
,VEH_31,3,O_9,2023-05-01 18:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
