ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
Null,VEH_16,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467740_001,VEH_16,2,D_1,2023-05-01 02:49,911.16,1140,2023-05-01 19:00,Yes
,VEH_16,3,O_9,2023-05-01 21:48,0,1367.85,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_3,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467156_001,VEH_3,2,D_1,2023-05-01 02:49,911.16,1140,2023-05-01 19:00,Yes
,VEH_3,3,O_9,2023-05-01 21:48,0,1367.85,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_35,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467788_001,VEH_35,2,D_109,2023-05-01 02:34,625.79,840,2023-05-01 14:00,Yes
MF2304276176045,VEH_35,3,D_1180,2023-05-01 16:38,0,1058.3,2023-05-01 17:38,Yes
,VEH_35,4,O_9,2023-05-01 17:56,0,1135.98,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_47,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467102_001,VEH_47,2,D_1,2023-05-01 02:49,911.16,1140,2023-05-01 19:00,Yes
M18386998,VEH_47,3,D_293,2023-05-01 21:03,0,1323.28,2023-05-01 22:03,Yes
,VEH_47,4,O_9,2023-05-01 23:19,0,1459.36,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_44,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467792_001,VEH_44,2,D_109,2023-05-01 02:34,625.79,840,2023-05-01 14:00,Yes
MF2305036201264,VEH_44,3,D_1180,2023-05-01 16:38,0,1058.3,2023-05-01 17:38,Yes
,VEH_44,4,O_9,2023-05-01 17:56,0,1135.98,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_37,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467780_001,VEH_37,2,D_108,2023-05-01 03:57,842.92,1140,2023-05-01 19:00,Yes
M18434024,VEH_37,3,D_301,2023-05-01 22:55,0,1435.1,2023-05-01 23:55,Yes
,VEH_37,4,O_9,2023-05-02 00:18,0,1518.13,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_1,1,O_9,2023-05-01 00:00,0,Null,Null,Null
M18385613,VEH_1,2,D_293,2023-05-01 01:16,1004.18,1140,2023-05-01 19:00,Yes
M18384761,VEH_1,3,D_263,2023-05-01 20:23,997.31,2280,2023-05-02 14:00,Yes
,VEH_1,4,O_9,2023-05-02 14:23,0,2363.38,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_38,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467776_001,VEH_38,2,D_108,2023-05-01 03:57,842.92,1140,2023-05-01 19:00,Yes
M18385491,VEH_38,3,D_332,2023-05-01 22:58,0,1438.28,2023-05-01 23:58,Yes
M18434020,VEH_38,4,D_301,2023-05-02 00:48,0,1547.53,2023-05-02 01:48,Yes
