ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
Null,VEH_1001,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B467839_001,VEH_1001,2,D_1,2023-05-01 02:27,933.18,1140,2023-05-01 19:00,Yes
20230501B467973_001,VEH_1001,3,D_1,2023-05-01 19:00,0,1200.0,2023-05-01 20:00,Yes
,VEH_1001,4,O_673,2023-05-01 22:52,0,1431.76,Null,temp
Null,VEH_1002,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B467871_001,VEH_1002,2,D_109,2023-05-01 02:52,907.57,1140,2023-05-01 19:00,Yes
M18385113,VEH_1002,3,D_279,2023-05-01 20:33,627.05,1920,2023-05-02 08:00,Yes
,VEH_1002,4,O_673,2023-05-02 09:47,0,2087.39,Null,temp
Null,VEH_1003,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18386875,VEH_1003,2,D_429,2023-05-01 02:04,475.62,660,2023-05-01 11:00,Yes
,VEH_1003,3,O_673,2023-05-01 13:19,0,859.16,Null,temp
Null,VEH_1004,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18385650,VEH_1004,2,D_273,2023-05-01 01:21,698.52,840,2023-05-01 14:00,Yes
,VEH_1004,3,O_673,2023-05-01 15:29,0,988.71,Null,temp
Null,VEH_1006,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B467825_001,VEH_1006,2,D_108,2023-05-01 01:26,694.33,840,2023-05-01 14:00,Yes
20230501B467893_001,VEH_1006,3,D_108,2023-05-01 14:00,0,900.0,2023-05-01 15:00,Yes
,VEH_1006,4,O_673,2023-05-01 16:30,0,1049.72,Null,temp
Null,VEH_1008,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B467866_001,VEH_1008,2,D_108,2023-05-01 01:26,694.33,840,2023-05-01 14:00,Yes
,VEH_1008,3,O_673,2023-05-01 15:30,0,989.72,Null,temp
Null,VEH_1009,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B467900_001,VEH_1009,2,D_109,2023-05-01 02:52,907.57,1140,2023-05-01 19:00,Yes
M18386797,VEH_1009,3,D_425,2023-05-01 22:15,704.53,2100,2023-05-02 11:00,Yes
,VEH_1009,4,O_673,2023-05-02 11:23,0,2183.19,Null,temp
Null,VEH_1010,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B468011_001,VEH_1010,2,D_37,2023-05-01 00:57,363.32,480,2023-05-01 08:00,Yes
,VEH_1010,3,O_673,2023-05-01 08:54,0,594.43,Null,temp
Null,VEH_1011,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B468370_001,VEH_1011,2,D_109,2023-05-01 02:52,907.57,1140,2023-05-01 19:00,Yes
,VEH_1011,3,O_673,2023-05-01 22:27,0,1407.34,Null,temp
Null,VEH_1012,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18385663,VEH_1012,2,D_298,2023-05-01 02:16,284.06,480,2023-05-01 08:00,Yes
20230501B467829_001,VEH_1012,3,D_7,2023-05-01 10:14,165.66,840,2023-05-01 14:00,Yes
,VEH_1012,4,O_673,2023-05-01 14:36,0,936.43,Null,temp
Null,VEH_1013,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18386226,VEH_1013,2,D_286,2023-05-01 02:39,440.53,660,2023-05-01 11:00,Yes
,VEH_1013,3,O_673,2023-05-01 14:14,0,914.32,Null,temp
Null,VEH_1016,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18385023,VEH_1016,2,D_272,2023-05-01 00:55,364.82,480,2023-05-01 08:00,Yes
20230501B468007_001,VEH_1016,3,D_108,2023-05-01 09:11,229.43,840,2023-05-01 14:00,Yes
,VEH_1016,4,O_673,2023-05-01 15:30,0,989.72,Null,temp
Null,VEH_1017,1,O_673,2023-05-01 00:00,0,Null,Null,Null
20230501B468243_001,VEH_1017,2,D_7,2023-05-01 00:38,742.29,840,2023-05-01 14:00,Yes
,VEH_1017,3,O_673,2023-05-01 14:36,0,936.43,Null,temp
Null,VEH_1022,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18385639,VEH_1022,2,D_364,2023-05-01 02:06,0,186.13,2023-05-01 03:06,Yes
,VEH_1022,3,O_673,2023-05-01 05:23,0,383.19,Null,temp
Null,VEH_1023,1,O_673,2023-05-01 00:00,0,Null,Null,Null
M18385646,VEH_1023,2,D_368,2023-05-01 01:14,345.66,480,2023-05-01 08:00,Yes
20230501B467965_001,VEH_1023,3,D_108,2023-05-01 09:18,222.1,840,2023-05-01 14:00,Yes
,VEH_1023,4,O_673,2023-05-01 15:30,0,989.72,Null,temp
Null,VEH_1037,1,O_685,2023-05-01 00:00,0,Null,Null,Null
20230501B468354_001,VEH_1037,2,D_108,2023-05-01 04:24,515.97,840,2023-05-01 14:00,Yes
