ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_31,1,O_9,2023-05-01 00:00,0,,,
MF2304276175993,VEH_31,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
,VEH_31,3,O_9,2023-05-01 01:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_40,1,O_9,2023-05-01 00:00,0,,,
M18434024,VEH_40,2,D_301,2023-05-01 00:23,0,60,2023-05-01 01:23,Yes
M18434020,VEH_40,3,D_301,2023-05-01 01:23,0,60,2023-05-01 02:23,Yes
MF2305036201264,VEH_40,4,D_1180,2023-05-01 02:30,0,60,2023-05-01 03:30,Yes
,VEH_40,5,O_9,2023-05-01 03:48,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_26,1,O_9,2023-05-01 00:00,0,,,
MF2304276176045,VEH_26,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
,VEH_26,3,O_9,2023-05-01 01:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_167,1,O_50,2023-05-01 00:00,0,,,
MF2305116280560,VEH_167,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_167,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_163,1,O_50,2023-05-01 00:00,0,,,
MF2305116279518,VEH_163,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_163,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_175,1,O_50,2023-05-01 00:00,0,,,
MF2305116280542,VEH_175,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
MF2305116280524,VEH_175,3,D_1748,2023-05-01 01:55,0,60,2023-05-01 02:55,Yes
,VEH_175,4,O_50,2023-05-01 03:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_191,1,O_62,2023-05-01 00:00,0,,,
M18385505,VEH_191,2,D_352,2023-05-01 02:23,0,60,2023-05-01 03:23,Yes
M18384924,VEH_191,3,D_268,2023-05-01 05:54,0,60,2023-05-01 06:54,Yes
,VEH_191,4,O_62,2023-05-01 07:24,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_296,1,O_144,2023-05-01 00:00,0,,,
MF2305036206448,VEH_296,2,D_1473,2023-05-01 01:45,0,60,2023-05-01 02:45,Yes
M18385429,VEH_296,3,D_310,2023-05-01 05:11,0,60,2023-05-01 06:11,Yes
,VEH_296,4,O_144,2023-05-01 07:56,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_354,1,O_179,2023-05-01 00:00,0,,,
MF2305016190961,VEH_354,2,D_1216,2023-05-01 02:31,0,60,2023-05-01 03:31,Yes
,VEH_354,3,O_179,2023-05-01 05:59,0,60,,temp
