ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_1005,1,O_673,,,,,
M18385639,VEH_1005,2,D_364,,,,,No
MF2305026196238,VEH_1005,3,D_1279,,,,,No
,VEH_163,1,O_50,,,,,
MF2305116279518,VEH_163,2,D_1748,,,,,No
,VEH_167,1,O_50,,,,,
MF2305116280560,VEH_167,2,D_1748,,,,,No
,VEH_175,1,O_50,,,,,
MF2305116280542,VEH_175,2,D_1748,,,,,No
MF2305116280524,VEH_175,3,D_1748,,,,,No
,VEH_191,1,O_62,,,,,
M18385505,VEH_191,2,D_352,,,,,No
M18384924,VEH_191,3,D_268,,,,,No
,VEH_26,1,O_9,,,,,
MF2304276176045,VEH_26,2,D_1180,,,,,No
,VEH_296,1,O_144,,,,,
MF2305036206448,VEH_296,2,D_1473,,,,,No
M18385429,VEH_296,3,D_310,,,,,No
,VEH_31,1,O_9,,,,,
MF2304276175993,VEH_31,2,D_1180,,,,,No
,VEH_354,1,O_179,,,,,
MF2305016190961,VEH_354,2,D_1216,,,,,No
,VEH_40,1,O_9,,,,,
M18434024,VEH_40,2,D_301,,,,,No
M18434020,VEH_40,3,D_301,,,,,No
MF2305036201264,VEH_40,4,D_1180,,,,,No
,VEH_563,1,O_326,,,,,
MF2305126290575,VEH_563,2,D_2007,,,,,No
,VEH_587,1,O_326,,,,,
MF2305176319073,VEH_587,2,D_1593,,,,,No
,VEH_594,1,O_326,,,,,
MF2305126290587,VEH_594,2,D_1597,,,,,No
MF2305316392523,VEH_594,3,D_2866,,,,,No
,VEH_598,1,O_326,,,,,
MF2305176319077,VEH_598,2,D_1593,,,,,No
MF2305176319069,VEH_598,3,D_1593,,,,,No
,VEH_610,1,O_326,,,,,
MF2305126290595,VEH_610,2,D_1405,,,,,No
MF2305176319065,VEH_610,3,D_1593,,,,,No
,VEH_661,1,O_352,,,,,
MF2305036205380,VEH_661,2,D_1442,,,,,No
MF2305036206350,VEH_661,3,D_1472,,,,,No
,VEH_680,1,O_376,,,,,
MF2305186334071,VEH_680,2,D_2233,,,,,No
,VEH_762,1,O_448,,,,,
MF2305036201428,VEH_762,2,D_1405,,,,,No
MF2305266367789,VEH_762,3,D_2648,,,,,No
